"#";"Article_NO";"Barcode";"Article_text";"Stock_Location";"QTY";"Min QTY";"Manufacturer";"Batchnumber";"Best-Before-Date";"INV_Date";"Price";"Last modified"
"1";"BAU-2940-GU";"BAU-2940-GU";"Baustein 2x2 gruen";"04-500-01";"33";"";"";"";"";"";"";"2024-12-20 14:45:54"
"2";"CLM-2550-GE";"CLM-2550-GE";"Clips mittel gelb 8 cm";"02-300-02";"12";"";"";"";"";"";"";"2024-12-20 14:45:54"
"3";"BAU-2940-GU";"BAU-2940-GU";"Baustein 2x2 gruen";"04-500-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"4";"CLM-2550-GE";"CLM-2550-GE";"Clips mittel gelb 8 cm";"02-300-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"5";"BAU-2950-BL";"BAU-2950-BL";"Baustein 2x2 blau";"04-500-02";"35";"";"";"";"";"";"";"2024-12-20 14:45:54"
"6";"DOM-4800-LI";"DOM-4800-LI";"Dominostein lila";"03-200-06";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"7";"BAU-2950-BL";"BAU-2950-BL";"Baustein 2x2 blau";"04-500-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"8";"DOM-4800-LI";"DOM-4800-LI";"Dominostein lila";"03-200-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"9";"BAU-2960-RO";"BAU-2960-RO";"Baustein 2x2 rot";"04-500-03";"30";"";"";"";"";"";"";"2024-12-20 14:45:54"
"10";"DOM-4810-GE";"DOM-4810-GE";"Dominostein gelb";"03-200-04";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"11";"BAU-2960-RO";"BAU-2960-RO";"Baustein 2x2 rot";"04-500-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"12";"DOM-4810-GE";"DOM-4810-GE";"Dominostein gelb";"03-200-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"13";"BAU-2970-WE";"BAU-2970-WE";"Baustein 2x2 weiß";"04-500-04";"32";"";"";"";"";"";"";"2024-12-20 14:45:54"
"14";"DOM-4820-OR";"DOM-4820-OR";"Dominostein orange";"03-100-06";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"15";"BAU-2970-WE";"BAU-2970-WE";"Baustein 2x2 weiß";"04-500-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"16";"DOM-4820-OR";"DOM-4820-OR";"Dominostein orange";"03-100-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"17";"BAU-2980-SW";"BAU-2980-SW";"Baustein 2x2 schwarz";"04-500-05";"33";"";"";"";"";"";"";"2024-12-20 14:45:54"
"18";"DOM-4830-SW";"DOM-4830-SW";"Dominostein schwarz";"03-100-05";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"19";"BAU-2980-SW";"BAU-2980-SW";"Baustein 2x2 schwarz";"04-500-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"20";"DOM-4830-SW";"DOM-4830-SW";"Dominostein schwarz";"03-100-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"21";"BAU-2990-GE";"BAU-2990-GE";"Baustein 2x2 gelb";"04-500-06";"30";"";"";"";"";"";"";"2024-12-20 14:45:54"
"22";"DOM-4840-RO";"DOM-4840-RO";"Dominostein rot";"03-100-03";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"23";"BAU-2990-GE";"BAU-2990-GE";"Baustein 2x2 gelb";"04-500-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"24";"DOM-4840-RO";"DOM-4840-RO";"Dominostein rot";"03-100-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"25";"BAU-3000-OR";"BAU-3000-OR";"Baustein 2x2 orange";"04-600-01";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"26";"DOM-4850-HG";"DOM-4850-HG";"Dominostein hellgruen";"03-200-01";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"27";"BAU-3000-OR";"BAU-3000-OR";"Baustein 2x2 orange";"04-600-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"28";"DOM-4850-HG";"DOM-4850-HG";"Dominostein hellgruen";"03-200-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"29";"BAU-3010-GR";"BAU-3010-GR";"Baustein 2x2 grau";"04-600-02";"29";"";"";"";"";"";"";"2024-12-20 14:45:54"
"30";"DOM-4860-DG";"DOM-4860-DG";"Dominostein dunkelgruen";"03-100-01";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"31";"BAU-3010-GR";"BAU-3010-GR";"Baustein 2x2 grau";"04-600-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"32";"DOM-4860-DG";"DOM-4860-DG";"Dominostein dunkelgruen";"03-100-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"33";"BAU-3020-BR";"BAU-3020-BR";"Baustein 2x2 braun";"04-600-03";"22";"";"";"";"";"";"";"2024-12-20 14:45:54"
"34";"DOM-4870-RO";"DOM-4870-RO";"Dominostein rosa";"03-100-04";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"35";"BAU-3020-BR";"BAU-3020-BR";"Baustein 2x2 braun";"04-600-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"36";"DOM-4870-RO";"DOM-4870-RO";"Dominostein rosa";"03-100-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"37";"BAU-3030-LI";"BAU-3030-LI";"Baustein 2x2 lila";"04-600-04";"28";"";"";"";"";"";"";"2024-12-20 14:45:54"
"38";"DOM-4880-HB";"DOM-4880-HB";"Dominostein hellblau";"03-200-02";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"39";"BAU-3030-LI";"BAU-3030-LI";"Baustein 2x2 lila";"04-600-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"40";"DOM-4880-HB";"DOM-4880-HB";"Dominostein hellblau";"03-200-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"41";"BAU-3040-OR";"BAU-3040-OR";"Baustein 2x3 orange";"04-600-05";"17";"";"";"";"";"";"";"2024-12-20 14:45:55"
"42";"DOM-4890-DB";"DOM-4890-DB";"Dominostein dunkelblau";"03-100-02";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"43";"BAU-3040-OR";"BAU-3040-OR";"Baustein 2x3 orange";"04-600-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"44";"DOM-4890-DB";"DOM-4890-DB";"Dominostein dunkelblau";"03-100-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"45";"BAU-3050-WE";"BAU-3050-WE";"Baustein 2x3 weiß";"04-600-06";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"46";"DOM-4900-BR";"DOM-4900-BR";"Dominostein braun";"03-200-03";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"47";"BAU-3050-WE";"BAU-3050-WE";"Baustein 2x3 weiß";"04-600-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"48";"DOM-4900-BR";"DOM-4900-BR";"Dominostein braun";"03-200-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"49";"BAU-3060-BR";"BAU-3060-BR";"Baustein 2x3 braun";"04-700-01";"16";"";"";"";"";"";"";"2024-12-20 14:45:55"
"50";"DOM-4910-WE";"DOM-4910-WE";"Dominostein weiß";"03-200-05";"18";"";"";"";"";"";"";"2025-01-16 10:21:47"
"51";"BAU-3060-BR";"BAU-3060-BR";"Baustein 2x3 braun";"04-700-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"52";"DOM-4910-WE";"DOM-4910-WE";"Dominostein weiß";"03-200-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"53";"BAU-3070-GU";"BAU-3070-GU";"Baustein 2x3 gruen";"04-700-02";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"54";"DUP-2010-RO";"DUP-2010-RO";"Duplostein rot";"01-400-04";"27";"";"";"";"";"";"";"2025-01-16 10:55:10"
"55";"BAU-3070-GU";"BAU-3070-GU";"Baustein 2x3 gruen";"04-700-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"56";"DUP-2010-RO";"DUP-2010-RO";"Duplostein rot";"01-400-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"57";"BAU-3080-BL";"BAU-3080-BL";"Baustein 2x3 blau";"04-700-03";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"58";"DUP-2020-GE";"DUP-2020-GE";"Duplostein gelb";"01-400-06";"17";"";"";"";"";"";"";"2025-01-16 10:55:13"
"59";"BAU-3080-BL";"BAU-3080-BL";"Baustein 2x3 blau";"04-700-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"60";"DUP-2020-GE";"DUP-2020-GE";"Duplostein gelb";"01-400-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"61";"BAU-3090-GE";"BAU-3090-GE";"Baustein 2x3 gelb";"04-700-04";"16";"";"";"";"";"";"";"2024-12-20 14:45:55"
"62";"DUP-2030-HB";"DUP-2030-HB";"Duplostein hellbraun";"01-400-05";"3";"";"";"";"";"";"";"2024-12-20 14:45:55"
"63";"BAU-3090-GE";"BAU-3090-GE";"Baustein 2x3 gelb";"04-700-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"64";"DUP-2030-HB";"DUP-2030-HB";"Duplostein hellbraun";"01-400-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"65";"BAU-3100-RO";"BAU-3100-RO";"Baustein 2x3 rot";"04-700-05";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"66";"DUP-2040-DB";"DUP-2040-DB";"Duplostein dunkelbraun";"01-400-07";"3";"";"";"";"";"";"";"2024-12-20 14:45:55"
"67";"BAU-3100-RO";"BAU-3100-RO";"Baustein 2x3 rot";"04-700-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"68";"DUP-2040-DB";"DUP-2040-DB";"Duplostein dunkelbraun";"01-400-070";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"69";"BAU-3110-LI";"BAU-3110-LI";"Baustein 2x3 lila";"04-700-06";"16";"";"";"";"";"";"";"2024-12-20 14:45:55"
"70";"DUP-2050-BL";"DUP-2050-BL";"Duplostein blau";"01-400-08";"12";"";"";"";"";"";"";"2024-12-20 14:45:55"
"71";"BAU-3110-LI";"BAU-3110-LI";"Baustein 2x3 lila";"04-700-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"72";"DUP-2050-BL";"DUP-2050-BL";"Duplostein blau";"01-400-080";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"73";"BAU-3120-SW";"BAU-3120-SW";"Baustein 2x3 schwarz";"04-800-01";"21";"";"";"";"";"";"";"2024-12-20 14:45:55"
"74";"DUP-2060-GR";"DUP-2060-GR";"Duplostein grau";"01-400-09";"4";"";"";"";"";"";"";"2024-12-20 14:45:55"
"75";"BAU-3120-SW";"BAU-3120-SW";"Baustein 2x3 schwarz";"04-800-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"76";"DUP-2060-GR";"DUP-2060-GR";"Duplostein grau";"01-400-090";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"77";"BAU-3130-GR";"BAU-3130-GR";"Baustein 2x3 grau";"04-800-02";"16";"";"";"";"";"";"";"2024-12-20 14:45:55"
"78";"DUP-2070-HG";"DUP-2070-HG";"Duplostein hellgruen";"01-400-12";"2";"";"";"";"";"";"";"2024-12-20 14:45:55"
"79";"BAU-3130-GR";"BAU-3130-GR";"Baustein 2x3 grau";"04-800-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"80";"DUP-2070-HG";"DUP-2070-HG";"Duplostein hellgruen";"01-400-120";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"81";"BAU-3140-GU";"BAU-3140-GU";"Baustein 2x1 gruen";"04-800-03";"51";"";"";"";"";"";"";"2024-12-20 14:45:55"
"82";"DUP-2080-DG";"DUP-2080-DG";"Duplostein dunkelgruen";"01-400-11";"5";"";"";"";"";"";"";"2025-01-16 10:54:34"
"83";"BAU-3140-GU";"BAU-3140-GU";"Baustein 2x1 gruen";"04-800-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"84";"DUP-2080-DG";"DUP-2080-DG";"Duplostein dunkelgruen";"01-400-110";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"85";"BAU-3150-BL";"BAU-3150-BL";"Baustein 2x1 blau";"04-800-04";"48";"";"";"";"";"";"";"2024-12-20 14:45:55"
"86";"DUP-2090-SW";"DUP-2090-SW";"Duplostein schwarz";"01-400-10";"4";"";"";"";"";"";"";"2024-12-20 14:45:55"
"87";"BAU-3150-BL";"BAU-3150-BL";"Baustein 2x1 blau";"04-800-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"88";"DUP-2090-SW";"DUP-2090-SW";"Duplostein schwarz";"01-400-100";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"89";"BAU-3160-RO";"BAU-3160-RO";"Baustein 2x1 rot";"04-800-05";"48";"";"";"";"";"";"";"2024-12-20 14:45:55"
"90";"DVD-1010-TD";"DVD-1010-TD";"DVD Tiger and Dragon";"01-100-01";"10";"";"";"";"";"";"";"2024-12-20 14:45:55"
"91";"BAU-3160-RO";"BAU-3160-RO";"Baustein 2x1 rot";"04-800-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"92";"DVD-1010-TD";"DVD-1010-TD";"DVD Tiger and Dragon";"01-100-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"93";"BAU-3170-SW";"BAU-3170-SW";"Baustein 2x1 schwarz";"04-800-06";"48";"";"";"";"";"";"";"2024-12-20 14:45:55"
"94";"DVD-1020-FL";"DVD-1020-FL";"DVD Fearless";"01-100-02";"10";"";"";"";"";"";"";"2024-12-20 14:45:55"
"95";"BAU-3170-SW";"BAU-3170-SW";"Baustein 2x1 schwarz";"04-800-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"96";"DVD-1020-FL";"DVD-1020-FL";"DVD Fearless";"01-100-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"97";"BAU-3180-LI";"BAU-3180-LI";"Baustein 2x1 lila";"04-900-01";"44";"";"";"";"";"";"";"2024-12-20 14:45:55"
"98";"DVD-1030-FH";"DVD-1030-FH";"DVD For Honor";"01-100-03";"10";"";"";"";"";"";"";"2024-12-20 14:45:55"
"99";"BAU-3180-LI";"BAU-3180-LI";"Baustein 2x1 lila";"04-900-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"100";"DVD-1030-FH";"DVD-1030-FH";"DVD For Honor";"01-100-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"101";"BAU-3190-WE";"BAU-3190-WE";"Baustein 2x1 weiß";"04-900-02";"49";"";"";"";"";"";"";"2024-12-20 14:45:55"
"102";"DVD-1040-TK";"DVD-1040-TK";"DVD Tekken";"01-100-04";"8";"";"";"";"";"";"";"2025-01-16 10:20:15"
"103";"BAU-3190-WE";"BAU-3190-WE";"Baustein 2x1 weiß";"04-900-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"104";"DVD-1040-TK";"DVD-1040-TK";"DVD Tekken";"01-100-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"105";"BAU-3200-BR";"BAU-3200-BR";"Baustein 2x1 braun";"04-900-03";"41";"";"";"";"";"";"";"2024-12-20 14:45:55"
"106";"DVD-1050-RS";"DVD-1050-RS";"DVD Red Steal";"01-100-05";"10";"";"";"";"";"";"";"2024-12-20 14:45:55"
"107";"BAU-3200-BR";"BAU-3200-BR";"Baustein 2x1 braun";"04-900-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"108";"DVD-1050-RS";"DVD-1050-RS";"DVD Red Steal";"01-100-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"109";"BAU-3210-GE";"BAU-3210-GE";"Baustein 2x1 gelb";"04-900-04";"46";"";"";"";"";"";"";"2024-12-20 14:45:55"
"110";"DVD-1060-MB";"DVD-1060-MB";"DVD Mr. Bean";"01-100-06";"10";"";"";"";"";"";"";"2024-12-20 14:45:55"
"111";"BAU-3210-GE";"BAU-3210-GE";"Baustein 2x1 gelb";"04-900-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"112";"DVD-1060-MB";"DVD-1060-MB";"DVD Mr. Bean";"01-100-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"113";"BAU-3220-OR";"BAU-3220-OR";"Baustein 2x1 orange";"04-900-05";"41";"";"";"";"";"";"";"2024-12-20 14:45:55"
"114";"FER-1320-WE";"FER-1320-WE";"Fernseher";"01-200-05";"5";"";"";"";"";"";"";"2025-01-16 10:51:40"
"115";"BAU-3220-OR";"BAU-3220-OR";"Baustein 2x1 orange";"04-900-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"116";"FER-1320-WE";"FER-1320-WE";"Fernseher";"01-200-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"117";"BAU-3230-GR";"BAU-3230-GR";"Baustein 2x1 grau";"04-900-06";"46";"";"";"";"";"";"";"2024-12-20 14:45:55"
"118";"GUM-4000-OR";"GUM-4000-OR";"Gummiball orange";"03-300-03";"13";"";"";"";"";"";"";"2024-12-20 14:45:55"
"119";"BAU-3230-GR";"BAU-3230-GR";"Baustein 2x1 grau";"04-900-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"120";"GUM-4000-OR";"GUM-4000-OR";"Gummiball orange";"03-300-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"121";"BAU-3240-GU";"BAU-3240-GU";"Baustein 1x8 gruen";"05-200-01";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"122";"GUM-4010-GL";"GUM-4010-GL";"Gummiball blau";"03-300-02";"19";"";"";"";"";"";"";"2024-12-20 14:45:55"
"123";"BAU-3240-GU";"BAU-3240-GU";"Baustein 1x8 gruen";"05-200-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"124";"GUM-4010-GL";"GUM-4010-GL";"Gummiball blau";"03-300-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"125";"BAU-3250-BL";"BAU-3250-BL";"Baustein 1x8 blau";"05-200-02";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"126";"GUM-4020-GU";"GUM-4020-GU";"Gummiball gruen";"03-300-01";"18";"";"";"";"";"";"";"2024-12-20 14:45:55"
"127";"BAU-3250-BL";"BAU-3250-BL";"Baustein 1x8 blau";"05-200-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"128";"GUM-4020-GU";"GUM-4020-GU";"Gummiball gruen";"03-300-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"129";"BAU-3260-RO";"BAU-3260-RO";"Baustein 1x8 rot";"05-200-03";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"130";"GUM-4030-GE";"GUM-4030-GE";"Gummiball gelb";"03-300-04";"16";"";"";"";"";"";"";"2024-12-20 14:45:55"
"131";"BAU-3260-RO";"BAU-3260-RO";"Baustein 1x8 rot";"05-200-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"132";"GUM-4030-GE";"GUM-4030-GE";"Gummiball gelb";"03-300-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"133";"BAU-3270-LI";"BAU-3270-LI";"Baustein 1x8 lila";"05-200-04";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"134";"GUM-4040-GE";"GUM-4040-GE";"Gummiball pink";"03-300-05";"19";"";"";"";"";"";"";"2024-12-20 14:45:55"
"135";"BAU-3270-LI";"BAU-3270-LI";"Baustein 1x8 lila";"05-200-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"136";"GUM-4040-GE";"GUM-4040-GE";"Gummiball pink";"03-300-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"137";"BAU-3280-WE";"BAU-3280-WE";"Baustein 1x8 weiß";"05-200-05";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"138";"HER-4700-WE";"HER-4700-WE";"Holzherz";"02-800-01";"60";"";"";"";"";"";"";"2024-12-20 14:45:55"
"139";"BAU-3280-WE";"BAU-3280-WE";"Baustein 1x8 weiß";"05-200-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"140";"HER-4700-WE";"HER-4700-WE";"Holzherz";"02-800-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"141";"BAU-3290-BR";"BAU-3290-BR";"Baustein 1x8 braun";"05-200-06";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"142";"HKL-2110-GU";"HKL-2110-GU";"Holzklammer gruen";"02-600-02";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"143";"BAU-3290-BR";"BAU-3290-BR";"Baustein 1x8 braun";"05-200-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"144";"HKL-2110-GU";"HKL-2110-GU";"Holzklammer gruen";"02-600-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"145";"BAU-3300-GE";"BAU-3300-GE";"Baustein 1x8 gelb";"05-300-01";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"146";"HKl-2120-DB";"HKl-2120-DB";"Holzklammer dunkelblau";"02-600-03";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"147";"BAU-3300-GE";"BAU-3300-GE";"Baustein 1x8 gelb";"05-300-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"148";"HKl-2120-DB";"HKl-2120-DB";"Holzklammer dunkelblau";"02-600-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"149";"BAU-3310-GR";"BAU-3310-GR";"Baustein 1x8 grau";"05-300-02";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"150";"HKl-2130-HB";"HKl-2130-HB";"Holzklammer hellblau";"02-700-05";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"151";"BAU-3310-GR";"BAU-3310-GR";"Baustein 1x8 grau";"05-300-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"152";"HKl-2130-HB";"HKl-2130-HB";"Holzklammer hellblau";"02-700-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"153";"BAU-3320-SW";"BAU-3320-SW";"Baustein 1x8 schwarz";"05-300-03";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"154";"HKl-2140-LL";"HKl-2140-LL";"Holzklammer lila";"02-700-01";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"155";"BAU-3320-SW";"BAU-3320-SW";"Baustein 1x8 schwarz";"05-300-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"156";"HKl-2140-LL";"HKl-2140-LL";"Holzklammer lila";"02-700-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"157";"BAU-3330-OR";"BAU-3330-OR";"Baustein 1x8 orange";"05-300-04";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"158";"HKl-2150-OR";"HKl-2150-OR";"Holzklammer orange";"02-600-06";"22";"";"";"";"";"";"";"2024-12-20 14:45:55"
"159";"BAU-3330-OR";"BAU-3330-OR";"Baustein 1x8 orange";"05-300-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"160";"HKl-2150-OR";"HKl-2150-OR";"Holzklammer orange";"02-600-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"161";"BAU-3340-GR";"BAU-3340-GR";"Baustein 1x2 schraeg grau";"05-300-05";"36";"";"";"";"";"";"";"2024-12-20 14:45:55"
"162";"HKl-2160-HR";"HKl-2160-HR";"Holzklammer hellrosa";"02-600-04";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"163";"BAU-3340-GR";"BAU-3340-GR";"Baustein 1x2 schraeg grau";"05-300-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"164";"HKl-2160-HR";"HKl-2160-HR";"Holzklammer hellrosa";"02-600-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"165";"BAU-3350-SW";"BAU-3350-SW";"Baustein 1x2 schraeg schwarz";"05-300-06";"36";"";"";"";"";"";"";"2024-12-20 14:45:55"
"166";"HKl-2170-RO";"HKl-2170-RO";"Holzklammer rot";"02-600-05";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"167";"BAU-3350-SW";"BAU-3350-SW";"Baustein 1x2 schraeg schwarz";"05-300-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"168";"HKl-2170-RO";"HKl-2170-RO";"Holzklammer rot";"02-600-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"169";"BAU-3360-RO";"BAU-3360-RO";"Baustein 1x2 schraeg rot";"05-400-01";"36";"";"";"";"";"";"";"2024-12-20 14:45:55"
"170";"HKl-2180-GE";"HKl-2180-GE";"Holzklammer gelb";"02-700-03";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"171";"BAU-3360-RO";"BAU-3360-RO";"Baustein 1x2 schraeg rot";"05-400-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"172";"HKl-2180-GE";"HKl-2180-GE";"Holzklammer gelb";"02-700-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"173";"BAU-3370-GU";"BAU-3370-GU";"Baustein 1x2 Eck gruen";"05-400-02";"12";"";"";"";"";"";"";"2024-12-20 14:45:55"
"174";"HKl-2190-SW";"HKl-2190-SW";"Holzklammer schwarz";"02-700-02";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
